id,star,original_title,budget,revenue,genres,original_language,popularity,production_companies,production_countries,year,month,day,runtime,spoken_languages,vote_count,vote_average
18206,Colin Hanks,Alone With Her,1000000,10018,Crime,en,2.392367,The Weinstein Company,US,2006,4,28,78,en,20,6.2
5289,Jason Statham,Chaos,20000000,10289,Drama,en,9.51795,Current Entertainment,CA,2005,1,17,106,en,278,6.1
44010,Leo Jokela,Logan,135000,10474,Comedy,en,0.588872,logan films,US,2010,9,10,94,en,2,5.3
74513,Diane Kruger,Forces spÃ©ciales,10000000,10759,Action,fr,5.3584,StudioCanal,FR,2011,11,2,109,fr,132,6.4
110160,Melvil Poupaud,Laurence Anyways,9500000,12250,Drama,fr,8.59498,MK2 Productions,CA,2012,5,18,168,fr,190,7.7
14167,Jon Armstrong,Standing Still,1700000,12762,Comedy,en,2.095106,Trent Othick Productions,US,2005,1,2,90,en,12,5.7
155084,Mark Webber,13 Sins,5000000,13809,Horror,en,9.067788,Sahamongkol Film International,US,2014,4,18,93,en,355,6.2
15785,Melanie Griffith,Cherry 2000,10000000,14000,Science Fiction,en,2.849779,Orion Pictures,US,1987,11,12,99,en,67,6
29715,Charlton Heston,Major Dundee,3800000,14873,War,en,3.055936,Columbia Pictures Corporation,US,1965,4,7,123,en,41,6.2
242042,Evan Rachel Wood,Barefoot,6000000,15071,Comedy,en,5.939334,WhiteFlame Productions,US,2014,2,2,90,en,210,6.3
44250,Edward Furlong,Cruel World,2000000,16344,Thriller,en,0.262437,Primetime Pictures,US,2005,9,1,88,ru,6,4.8
245846,Nicole Kidman,Strangerland,10000000,17472,Drama,en,5.975657,Worldview Entertainment,AU,2015,7,1,111,en,90,5.1
50601,Rupert Friend,5 Days of War,20000000,17479,War,en,3.174512,Midnight Sun Pictures,US,2011,4,14,113,en,63,5.8
31723,Carla Gugino,Women in Trouble,3000000,18097,Comedy,en,7.052376,Gato Negro Films,US,2009,11,13,92,en,30,5.2
121642,PenÃƒÂ©lope Cruz,Venuto al mondo,13000000,18295,Drama,it,5.849716,Medusa Film,IT,2012,9,13,127,it,142,6.9
901,Charlie Chaplin,City Lights,1500000,19181,Comedy,en,10.891524,Charles Chaplin Productions,US,1931,1,30,87,en,444,8.2
13501,PenÃƒÂ©lope Cruz,The Good Night,15000000,20380,Comedy,en,8.031164,Destination Films,DE,2007,1,25,93,en,41,5.7
257440,Hailee Steinfeld,Term Life,16500000,21256,Thriller,en,7.35578,WWE Studios,US,2016,4,29,93,en,81,5.7
38541,Lauren German,The Divide,3000000,22000,Horror,en,7.406609,Instinctive Film,CA,2011,3,13,112,en,198,5.7
91911,Bud Abbott,Behind the Burly Q,250000,23859,Documentary,en,0.386717,Mistress Inc.,US,2010,4,23,97,en,3,5.5
103686,Margarethe von Trotta,Paradies: Liebe,3600000,24267,Drama,de,4.645724,Tatfilm,AT,2012,4,27,120,de,53,6.7
1626,Anna Karina,Vivre sa vie: film en douze tableaux,64000,24517,Drama,fr,11.30591,PathÃ© Consortium CinÃ©ma,FR,1962,9,20,85,fr,105,7.6
98203,Isabelle Huppert,Captive,11180,24591,Drama,en,0.660969,Centerstage Productions,PH,2012,9,5,120,en,11,5.9
15423,Snoop Dogg,Hood of Horror,5000000,25900,Action,en,2.06528,Freestyle Releasing,US,2006,6,27,84,en,18,4.2
16191,Patrick Bergin,Highway to Hell,9000000,26055,Fantasy,en,1.80809,Hemdale Film Corporation,US,1991,11,21,94,en,19,6.1
329819,Rod Perry,La TÃªte haute,5000000,26144,Drama,fr,4.206655,Les Films du Kiosque,FR,2015,5,13,119,fr,149,7.3
42707,Tygo Gernandt,Road to Nowhere,5000000,27046,Mystery,en,1.744659,Tigers Den Studios,US,2011,4,13,121,en,18,5
160768,Benicio del Toro,Jimmy P.,10000000,30283,Drama,en,4.50333,Why Not Productions,FR,2013,9,11,117,en,30,6
8374,Willem Dafoe,The Boondock Saints,6000000,30471,Action,en,12.457908,Franchise Pictures,CA,1999,1,22,108,en,848,7.2
37861,Mads Mikkelsen,Valhalla Rising,5641880,30638,Adventure,fr,8.651468,BBC Films,DK,2009,9,4,93,en,323,5.9
91070,Krystyna Janda,L!fe Happens,930000,30905,Comedy,en,10.114319,Stardust Pictures,CA,2011,6,18,100,en,66,5.3
103620,Elijah Wood,Maniac,6000000,31081,Horror,en,8.804658,La Petite Reine,FR,2012,12,26,89,en,322,5.9
16725,Ellen Page,The Tracey Fragments,700000,31576,Drama,en,2.819298,TÃ©lÃ©film Canada,CA,2007,2,8,77,en,36,5.9
23963,Stephen McHattie,Pontypool,1500000,32000,Horror,en,6.407207,Ponty Up Pictures,CA,2009,3,6,93,hy,187,6.6
244783,Anne Hathaway,Song One,6000000,32251,Drama,en,6.743182,Worldview Entertainment,US,2014,1,20,86,en,87,5.5
2324,Armin Mueller-Stahl,Local Color,3250000,32788,Drama,en,1.393391,Media 8 Entertainment,US,2006,9,19,107,en,8,6.1
52015,Danielle Harris,Stake Land,650000,33245,Drama,en,7.814255,Glass Eye Pix,US,2010,9,30,98,en,290,6.2
20148,Michael Lembeck,Cowboys & Angels,2000000,33700,Comedy,it,1.188935,TLA Releasing,IE,2003,5,14,89,en,10,5.9
121173,Eddie Griffin,Bwakaw,11178,34659,Comedy,en,0.079287,APT Entertainment,PH,2012,9,5,104,tl,1,8
333385,Sam Rockwell,Mr. Right,8000000,34694,Action,en,7.317816,Amasia Entertainment,US,2016,2,29,95,en,395,6.3
8349,Matthias SchweighÃƒÂ¶fer,Der rote Baron,18000000,40239,Action,de,4.918419,Niama Film,DE,2008,3,29,120,de,80,6.4
111479,Alan Rickman,CBGB,5000000,40400,Drama,en,3.711772,Rampart Films,US,2013,10,11,101,en,45,6.5
121640,Stephen Dorff,Zaytoun,8000000,42330,Drama,en,3.549738,Bedlam Productions,IL,2012,10,14,107,ar,16,6.6
34769,Woody Harrelson,Defendor,3500000,44462,Drama,en,5.600277,Alliance Films,CA,2009,9,12,101,en,197,6.5
4191,Jeanne Moreau,La mariÃ©e Ã©tait en noir,747000,44566,Mystery,fr,2.775402,Les Films du Carrosse,FR,1968,3,22,107,fr,41,7.3
301748,Mena Suvari,Opposite Sex,3300000,45000,Comedy,en,3.436499,Magna Global Entertainment,US,2014,11,8,96,en,9,4.1
167810,Christina Lindberg,Lost River,2000000,45431,Fantasy,en,6.640704,Bold Films,US,2015,4,8,95,en,228,5.8
4629,Daniel Radcliffe,December Boys,4000000,46474,Drama,en,4.661689,Village Roadshow Pictures,AU,2007,9,20,105,en,79,6.2
27004,Sean Bean,Ca$h,7000000,46488,Crime,en,9.107829,Immortal Thoughts,US,2010,1,1,108,en,73,6
44754,Anna Paquin,Margaret,14000000,46495,Drama,en,5.113573,Fox Searchlight Pictures,US,2011,9,30,149,en,86,6.1
376166,Marion Darlington,Mal de pierres,10300000,47748,Drama,fr,6.165491,Les Productions du TrÃ©sor,CA,2016,10,19,120,fr,63,6.7
167221,Toni Servillo,Viva la libertÃ ,5000000,48125,Drama,it,2.513078,BiBi Film,IT,2013,2,13,94,it,42,7.2
177047,Samantha Mumba,Decoding Annie Parker,2000000,48390,Drama,en,3.880541,Media House Capital,US,2014,5,2,91,en,38,5.5
11660,Jeremy Theobald,Following,6000,48482,Crime,en,5.283661,Syncopy,GB,1998,9,12,69,en,363,7.2
12241,Bruce Reitherman,Curdled,2300000,49620,Comedy,en,2.781581,Tinderbox Films,US,1996,9,6,88,en,29,6.2
43919,Danielle Harris,Hatchet II,2500000,52604,Horror,en,12.525758,ArieScope Pictures,US,2010,8,26,89,en,91,5.6
251321,Jennifer Connelly,Aloft,8000000,53086,Drama,en,3.851653,Arcadia Motion Pictures,FR,2014,2,12,112,fr,41,5.1
28260,Melinda Dillon,Return of the Living Dead 3,2000000,54207,Comedy,en,9.796755,Ozla Productions,US,1993,10,1,97,cs,88,5.9
15206,Asia Argento,La terza madre,3500000,54947,Horror,it,34.145916,Myriad Pictures,IT,2007,9,6,102,en,135,4.1
12645,Rosanna Arquette,Inhale,10000000,55089,Drama,en,4.163207,26 Films,US,2010,8,27,100,en,39,6.3
70695,Juno Temple,Dirty Girl,4000000,55125,Drama,en,10.964499,iDeal Partners Film Fund,US,2010,9,12,90,en,71,6.4
21033,Debra Blee,Beautiful,1500000,56000,Drama,en,2.713961,Kojo Pictures,AU,2009,4,27,97,en,17,4.6
109729,Lindsay Lohan,The Canyons,250000,56825,Thriller,en,4.281631,Filmworks/FX,US,2013,7,29,99,en,75,4.1
123103,Eli Wallach,Aftershock,2000000,58510,Horror,es,8.367858,Cross Creek Pictures,CL,2012,9,12,89,en,110,5.3
187596,Elizabeth Banks,Walk of Shame,15000000,59209,Comedy,en,7.844705,Lakeshore Entertainment,US,2014,5,2,95,en,561,5.8
244506,Kristen Stewart,Camp X-Ray,1000000,59744,Drama,en,11.153327,Gotham Group,US,2014,10,17,117,en,395,6.7
705,Bette Davis,All About Eve,1400000,63463,Drama,en,12.06308,Twentieth Century Fox Film Corporation,US,1950,11,9,138,en,367,8
97614,Eric Berger,Deadfall,12000000,66351,Crime,en,8.435294,StudioCanal,FR,2012,11,8,95,en,228,5.6
18176,Mischa Barton,Assassination of a High School President,11500000,69564,Comedy,en,6.67905,Vertigo Entertainment,US,2008,1,17,93,en,96,6.1
35614,Dom DeLuise,A Troll in Central Park,23000000,71368,Fantasy,en,3.612089,Warner Bros.,US,1994,10,7,76,en,40,4.4
46849,Carlyle Blackwell,Eye of the Dolphin,2500000,71904,Drama,en,0.46335,Gold/Miller Productions,US,2007,8,24,100,en,7,7.1
116977,Charlie Sheen,Foodfight!,65000000,73706,Animation,en,6.693589,Threshold Entertainment,US,2012,6,15,87,en,28,2.3
123109,Luke Evans,No One Lives,2900000,74918,Horror,en,7.202832,Pathe,US,2013,3,9,86,en,173,5.5
157099,Olivia Wilde,Better Living Through Chemistry,5000000,75143,Drama,en,7.392294,Aegis Film Fund,GB,2014,3,14,91,en,99,5.9
